Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,clouds_brightness_std,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,rain_brightness_std,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,satellite_brightness_std,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,solarpower_brightness_std,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,wind_brightness_std,Predicted Generation (MW)
57,2026-07-31 14:00,118.61,46.64,76.87,3.23,21.0,212,14,1,840,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,61.4,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.265
58,2026-07-31 14:15,118.61,46.64,76.87,3.23,21.0,212,14,1,855,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,58.01,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.154
59,2026-07-31 14:30,118.61,46.64,76.87,3.23,21.0,212,14,1,870,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,54.61,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.032
60,2026-07-31 14:45,118.61,46.64,76.87,3.23,21.0,212,14,1,885,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,51.2,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,2.898
61,2026-07-31 15:00,118.61,46.64,76.87,3.23,21.0,212,15,1,900,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,47.79,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,2.754
62,2026-07-31 15:15,118.61,46.64,76.87,3.23,21.0,212,15,1,915,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,44.38,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,2.601
63,2026-07-31 15:30,118.61,46.64,76.87,3.23,21.0,212,15,1,930,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,40.97,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,2.438
64,2026-07-31 15:45,118.61,46.64,76.87,3.23,21.0,212,15,1,945,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,37.57,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,2.267
65,2026-07-31 16:00,118.61,46.64,76.87,3.23,21.0,212,16,1,960,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,34.17,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,2.089
66,2026-07-31 16:15,118.61,46.64,76.87,3.23,21.0,212,16,1,975,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,30.79,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,1.904
67,2026-07-31 16:30,118.61,46.64,76.87,3.23,21.0,212,16,1,990,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,27.41,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,1.712
68,2026-07-31 16:45,118.61,46.64,76.87,3.23,21.0,212,16,1,1005,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,24.04,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,1.515
69,2026-07-31 17:00,118.61,46.64,76.87,3.23,21.0,212,17,1,1020,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,20.69,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,1.314
70,2026-07-31 17:15,118.61,46.64,76.87,3.23,21.0,212,17,1,1035,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,17.35,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,1.109
71,2026-07-31 17:30,118.61,46.64,76.87,3.23,21.0,212,17,1,1050,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,14.03,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,0.902
72,2026-07-31 17:45,118.61,46.64,76.87,3.23,21.0,212,17,1,1065,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,10.73,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,0.692
