Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,clouds_brightness_std,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,rain_brightness_std,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,satellite_brightness_std,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,solarpower_brightness_std,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,wind_brightness_std,Predicted Generation (MW)
35,2026-07-31 08:30,119.39,47.29,93.46,3.4,20.79,212,8,1,510,7,2.08,2.3,0,-1,0.432,92,0.0017,111.59,206.69,37.58,3.27,21.54,108.26,63.96,50.11,3.55,33.77,40.97,139.73,11.39,147.81,5.23,19.68,123.75,174.2,117.4,6.14,24.71,2.544
36,2026-07-31 08:45,119.39,47.29,93.46,3.4,20.79,212,8,1,525,7,2.08,2.3,0,-1,0.432,92,0.0017,111.59,206.69,37.58,3.27,21.54,108.26,63.96,50.11,3.55,33.77,44.38,139.73,11.39,147.81,5.23,19.68,123.75,174.2,117.4,6.14,24.71,2.714
37,2026-07-31 09:00,119.39,47.29,93.46,3.4,20.79,212,9,1,540,7,2.08,2.3,0,-1,0.432,92,0.0017,111.59,206.69,37.58,3.27,21.54,108.26,63.96,50.11,3.55,33.77,47.79,139.73,11.39,147.81,5.23,19.68,123.75,174.2,117.4,6.14,24.71,2.874
38,2026-07-31 09:15,119.39,47.29,93.46,3.4,20.79,212,9,1,555,7,2.08,2.3,0,-1,0.432,92,0.0017,111.59,206.69,37.58,3.27,21.54,108.26,63.96,50.11,3.55,33.77,51.2,139.73,11.39,147.81,5.23,19.68,123.75,174.2,117.4,6.14,24.71,3.024
39,2026-07-31 09:30,119.39,47.29,93.46,3.4,20.79,212,9,1,570,7,2.08,2.3,0,-1,0.432,92,0.0017,111.59,206.69,37.58,3.27,21.54,108.26,63.96,50.11,3.55,33.77,54.61,139.73,11.39,147.81,5.23,19.68,123.75,174.2,117.4,6.14,24.71,3.163
40,2026-07-31 09:45,119.39,47.29,93.46,3.4,20.79,212,9,1,585,7,2.08,2.3,0,-1,0.432,92,0.0017,111.59,206.69,37.58,3.27,21.54,108.26,63.96,50.11,3.55,33.77,58.01,139.73,11.39,147.81,5.23,19.68,123.75,174.2,117.4,6.14,24.71,3.291
41,2026-07-31 10:00,118.95,46.78,89.6,3.29,20.88,212,10,1,600,7,1.53,1.53,0,-1,0.479,91,0.0014,111.33,206.79,48.08,3.4,22.04,105.72,79.74,81.89,2.79,23.85,61.4,165.92,21.86,140.48,94.78,19.36,124.56,178.41,120.99,5.48,23.05,3.416
42,2026-07-31 10:15,118.7,46.64,76.8,3.29,21.04,212,10,1,615,7,7.44,1.53,1,-1,0.495,87,0.0016,111.3,206.74,50.19,3.37,22.02,93.6,79.73,103.33,2.23,23.71,64.78,191.21,29.95,125.2,96.21,21.18,124.77,179.54,122.05,5.58,23.08,3.481
43,2026-07-31 10:30,118.7,46.64,76.8,3.29,21.04,212,10,1,630,7,7.44,1.53,1,-1,0.495,87,0.0016,111.3,206.74,50.19,3.37,22.02,93.6,79.73,103.33,2.23,23.71,68.13,191.21,29.95,125.2,96.21,21.18,124.77,179.54,122.05,5.58,23.08,3.571
44,2026-07-31 10:45,118.61,46.64,76.87,3.23,21.0,212,10,1,645,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,71.43,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.525
45,2026-07-31 11:00,118.61,46.64,76.87,3.23,21.0,212,11,1,660,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,74.65,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.586
46,2026-07-31 11:15,118.61,46.64,76.87,3.23,21.0,212,11,1,675,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,77.74,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.634
47,2026-07-31 11:30,118.61,46.64,76.87,3.23,21.0,212,11,1,690,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,80.54,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.668
48,2026-07-31 11:45,118.61,46.64,76.87,3.23,21.0,212,11,1,705,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,82.72,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.689
49,2026-07-31 12:00,118.61,46.64,76.87,3.23,21.0,212,12,1,720,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,83.61,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.696
50,2026-07-31 12:15,118.61,46.64,76.87,3.23,21.0,212,12,1,735,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,82.72,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.689
51,2026-07-31 12:30,118.61,46.64,76.87,3.23,21.0,212,12,1,750,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,80.54,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.668
52,2026-07-31 12:45,118.61,46.64,76.87,3.23,21.0,212,12,1,765,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,77.74,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.634
53,2026-07-31 13:00,118.61,46.64,76.87,3.23,21.0,212,13,1,780,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,74.65,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.586
54,2026-07-31 13:15,118.61,46.64,76.87,3.23,21.0,212,13,1,795,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,71.43,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.525
55,2026-07-31 13:30,118.61,46.64,76.87,3.23,21.0,212,13,1,810,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,68.13,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.451
56,2026-07-31 13:45,118.61,46.64,76.87,3.23,21.0,212,13,1,825,7,23.81,2.44,1,-1,0.388,86,0.0019,111.24,206.73,50.24,3.31,21.95,88.99,79.7,112.54,2.23,22.89,64.78,191.17,29.95,125.29,96.22,21.17,124.79,179.53,122.02,5.61,23.11,3.364
