Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,clouds_brightness_std,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,rain_brightness_std,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,satellite_brightness_std,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,solarpower_brightness_std,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,wind_brightness_std,Predicted Generation (MW)
55,2026-07-26 13:30,121.44,107.96,33.98,4.87,24.77,207,13,1,810,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,68.53,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.74
56,2026-07-26 13:45,121.44,107.96,33.98,4.87,24.77,207,13,1,825,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,65.15,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.67
57,2026-07-26 14:00,121.44,107.96,33.98,4.87,24.77,207,14,1,840,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,61.76,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.6
58,2026-07-26 14:15,121.44,107.96,33.98,4.87,24.77,207,14,1,855,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,58.35,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.51
59,2026-07-26 14:30,121.44,107.96,33.98,4.87,24.77,207,14,1,870,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,54.95,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.42
60,2026-07-26 14:45,121.44,107.96,33.98,4.87,24.77,207,14,1,885,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,51.54,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.353
61,2026-07-26 15:00,121.44,107.96,33.98,4.87,24.77,207,15,1,900,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,48.13,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.286
62,2026-07-26 15:15,121.44,107.96,33.98,4.87,24.77,207,15,1,915,7,38.33,98.18,-1,-1,0.688,84,0.0062,108.19,206.62,127.87,3.33,22.73,189.01,79.41,16.61,91.54,31.02,44.72,203.46,33.04,114.36,96.46,23.3,122.02,161.9,111.85,3.1,20.07,1.216
