Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,clouds_brightness_std,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,rain_brightness_std,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,satellite_brightness_std,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,solarpower_brightness_std,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,wind_brightness_std,Predicted Generation (MW)
39,2026-07-29 09:30,118.22,46.92,57.61,3.17,20.93,210,9,1,570,7,25.02,31.67,-1,-1,0.666,80,0.0046,112.22,0.09,0.54,2.85,20.35,152.16,79.54,36.06,62.53,27.43,54.75,140.41,11.8,147.83,4.0,19.31,123.34,197.7,141.12,3.22,20.66,2.245
40,2026-07-29 09:45,118.22,46.92,57.61,3.17,20.93,210,9,1,585,7,25.02,31.67,-1,-1,0.666,80,0.0046,112.22,0.09,0.54,2.85,20.35,152.16,79.54,36.06,62.53,27.43,58.16,140.41,11.8,147.83,4.0,19.31,123.34,197.7,141.12,3.22,20.66,2.335
41,2026-07-29 10:00,119.71,40.63,10.08,3.51,21.65,210,10,1,600,7,2.1,1.63,0,-1,0.32,91,0.0008,112.16,356.95,0.99,2.67,19.79,120.96,79.85,61.17,2.36,22.58,61.56,168.99,23.04,138.93,94.91,20.18,122.25,198.06,141.94,3.17,20.65,3.423
42,2026-07-29 10:15,119.71,40.63,10.08,3.51,21.65,210,10,1,615,7,2.1,1.63,0,-1,0.32,91,0.0008,112.16,356.95,0.99,2.67,19.79,120.96,79.85,61.17,2.36,22.58,64.94,168.99,23.04,138.93,94.91,20.18,122.25,198.06,141.94,3.17,20.65,3.527
43,2026-07-29 10:30,119.71,40.63,10.08,3.51,21.65,210,10,1,630,7,2.1,1.63,0,-1,0.32,91,0.0008,112.16,356.95,0.99,2.67,19.79,120.96,79.85,61.17,2.36,22.58,68.3,168.99,23.04,138.93,94.91,20.18,122.25,198.06,141.94,3.17,20.65,3.617
44,2026-07-29 10:45,119.71,40.63,10.08,3.51,21.65,210,10,1,645,7,2.1,1.63,0,-1,0.32,91,0.0008,112.16,356.95,0.99,2.67,19.79,120.96,79.85,61.17,2.36,22.58,71.62,168.99,23.04,138.93,94.91,20.18,122.25,198.06,141.94,3.17,20.65,3.695
45,2026-07-29 11:00,119.71,40.63,10.08,3.51,21.65,210,11,1,660,7,2.1,1.63,0,-1,0.32,91,0.0008,112.16,356.95,0.99,2.67,19.79,120.96,79.85,61.17,2.36,22.58,74.87,168.99,23.04,138.93,94.91,20.18,122.25,198.06,141.94,3.17,20.65,3.758
46,2026-07-29 11:15,119.71,40.63,10.08,3.51,21.65,210,11,1,675,7,2.1,1.63,0,-1,0.32,91,0.0008,112.16,356.95,0.99,2.67,19.79,120.96,79.85,61.17,2.36,22.58,78.0,168.99,23.04,138.93,94.91,20.18,122.25,198.06,141.94,3.17,20.65,3.808
47,2026-07-29 11:30,192.94,102.02,7.75,93.59,28.88,210,11,1,690,7,98.11,98.09,0,-1,0.264,93,0.0042,111.49,205.74,32.83,2.96,20.73,57.84,79.64,231.8,2.12,24.56,80.88,196.37,30.85,120.83,96.56,21.5,105.13,210.1,152.75,2.68,21.36,1.429
48,2026-07-29 11:45,192.94,102.02,7.75,93.59,28.88,210,11,1,705,7,98.11,98.09,0,-1,0.264,93,0.0042,111.49,205.74,32.83,2.96,20.73,57.84,79.64,231.8,2.12,24.56,83.16,196.37,30.85,120.83,96.56,21.5,105.13,210.1,152.75,2.68,21.36,1.437
49,2026-07-29 12:00,192.94,102.01,7.75,93.59,28.88,210,12,1,720,7,78.45,83.69,-1,-1,0.41,91,0.0022,111.49,205.74,32.83,2.99,20.75,56.82,79.74,245.15,2.17,25.24,84.11,196.42,30.85,120.7,96.56,21.53,105.2,210.16,152.32,2.72,21.65,1.533
50,2026-07-29 12:15,192.94,102.01,7.75,93.59,28.88,210,12,1,735,7,78.45,83.69,-1,-1,0.41,91,0.0022,111.49,205.74,32.83,2.99,20.75,56.82,79.74,245.15,2.17,25.24,83.16,196.42,30.85,120.7,96.56,21.53,105.2,210.16,152.32,2.72,21.65,1.53
51,2026-07-29 12:30,192.94,102.01,7.75,93.59,28.88,210,12,1,750,7,78.45,83.69,-1,-1,0.41,91,0.0022,111.49,205.74,32.83,2.99,20.75,56.82,79.74,245.15,2.17,25.24,80.88,196.42,30.85,120.7,96.56,21.53,105.2,210.16,152.32,2.72,21.65,1.522
52,2026-07-29 12:45,192.94,102.01,7.75,93.59,28.88,210,12,1,765,7,78.45,83.69,-1,-1,0.41,91,0.0022,111.49,205.74,32.83,2.99,20.75,56.82,79.74,245.15,2.17,25.24,78.0,196.42,30.85,120.7,96.56,21.53,105.2,210.16,152.32,2.72,21.65,1.507
53,2026-07-29 13:00,192.94,102.01,7.75,93.59,28.88,210,13,1,780,7,78.45,83.69,-1,-1,0.41,91,0.0022,111.49,205.74,32.83,2.99,20.75,56.82,79.74,245.15,2.17,25.24,74.87,196.42,30.85,120.7,96.56,21.53,105.2,210.16,152.32,2.72,21.65,1.487
54,2026-07-29 13:15,206.05,63.28,7.29,96.55,22.93,210,13,1,795,7,98.22,98.15,0,-1,0.775,78,0.0077,115.44,198.53,37.77,3.7,24.17,178.8,63.46,8.32,76.85,63.88,71.62,180.84,26.63,133.21,95.88,20.6,103.29,211.43,152.62,2.88,22.76,1.018
55,2026-07-29 13:30,206.05,63.28,7.29,96.55,22.93,210,13,1,810,7,98.22,98.15,0,-1,0.775,78,0.0077,115.44,198.53,37.77,3.7,24.17,178.8,63.46,8.32,76.85,63.88,68.3,180.84,26.63,133.21,95.88,20.6,103.29,211.43,152.62,2.88,22.76,0.997
56,2026-07-29 13:45,206.05,63.28,7.29,96.55,22.93,210,13,1,825,7,98.22,98.15,0,-1,0.775,78,0.0077,115.44,198.53,37.77,3.7,24.17,178.8,63.46,8.32,76.85,63.88,64.94,180.84,26.63,133.21,95.88,20.6,103.29,211.43,152.62,2.88,22.76,0.971
57,2026-07-29 14:00,206.05,63.28,7.29,96.55,22.93,210,14,1,840,7,98.22,98.15,0,-1,0.775,78,0.0077,115.44,198.53,37.77,3.7,24.17,178.8,63.46,8.32,76.85,63.88,61.56,180.84,26.63,133.21,95.88,20.6,103.29,211.43,152.62,2.88,22.76,0.943
58,2026-07-29 14:15,137.89,171.96,78.57,17.29,24.99,210,14,1,855,7,98.21,97.38,0,-1,0.137,46,0.0053,134.99,179.52,130.0,22.86,35.13,203.25,79.12,7.5,97.17,24.01,58.16,139.62,11.37,148.28,4.62,19.89,102.66,216.18,147.65,2.84,22.73,1.073
59,2026-07-29 14:30,137.92,171.38,79.03,17.68,24.6,210,14,1,870,7,97.61,97.6,0,-1,0.416,88,0.0049,134.94,179.52,130.08,22.83,35.12,193.62,79.0,6.33,96.53,25.31,54.75,139.49,11.31,147.75,4.59,20.56,102.61,216.18,147.72,2.84,22.71,1.034
60,2026-07-29 14:45,137.92,171.38,79.03,17.68,24.6,210,14,1,885,7,97.61,97.6,0,-1,0.416,88,0.0049,134.94,179.52,130.08,22.83,35.12,193.62,79.0,6.33,96.53,25.31,51.34,139.49,11.31,147.75,4.59,20.56,102.61,216.18,147.72,2.84,22.71,0.989
61,2026-07-29 15:00,137.92,171.38,79.03,17.68,24.6,210,15,1,900,7,97.61,97.6,0,-1,0.416,88,0.0049,134.94,179.52,130.08,22.83,35.12,193.62,79.0,6.33,96.53,25.31,47.93,139.49,11.31,147.75,4.59,20.56,102.61,216.18,147.72,2.84,22.71,0.94
62,2026-07-29 15:15,137.92,171.38,79.03,17.68,24.6,210,15,1,915,7,97.61,97.6,0,-1,0.416,88,0.0049,134.94,179.52,130.08,22.83,35.12,193.62,79.0,6.33,96.53,25.31,44.52,139.49,11.31,147.75,4.59,20.56,102.61,216.18,147.72,2.84,22.71,0.888
63,2026-07-29 15:30,137.92,171.38,79.03,17.68,24.6,210,15,1,930,7,97.61,97.6,0,-1,0.416,88,0.0049,134.94,179.52,130.08,22.83,35.12,193.62,79.0,6.33,96.53,25.31,41.12,139.49,11.31,147.75,4.59,20.56,102.61,216.18,147.72,2.84,22.71,0.833
64,2026-07-29 15:45,141.45,156.45,80.81,20.91,31.21,210,15,1,945,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,37.72,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.776
65,2026-07-29 16:00,141.45,156.45,80.81,20.91,31.21,210,16,1,960,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,34.33,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.716
66,2026-07-29 16:15,141.45,156.45,80.81,20.91,31.21,210,16,1,975,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,30.94,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.653
67,2026-07-29 16:30,141.45,156.45,80.81,20.91,31.21,210,16,1,990,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,27.57,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.587
68,2026-07-29 16:45,141.45,156.45,80.81,20.91,31.21,210,16,1,1005,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,24.21,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.521
69,2026-07-29 17:00,141.45,156.45,80.81,20.91,31.21,210,17,1,1020,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,20.86,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.452
70,2026-07-29 17:15,141.45,156.45,80.81,20.91,31.21,210,17,1,1035,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,17.53,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.382
71,2026-07-29 17:30,141.45,156.45,80.81,20.91,31.21,210,17,1,1050,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,14.21,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.311
72,2026-07-29 17:45,141.45,156.45,80.81,20.91,31.21,210,17,1,1065,7,98.04,98.05,0,-1,0.339,92,0.0052,135.43,178.86,130.31,22.96,34.96,164.24,77.07,3.2,92.15,20.41,10.92,159.92,19.79,143.3,93.18,20.53,103.02,217.41,146.97,4.98,26.37,0.241
