Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,clouds_brightness_std,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,rain_brightness_std,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,satellite_brightness_std,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,solarpower_brightness_std,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,wind_brightness_std,Predicted Generation (MW)
29,2026-07-29 07:00,119.06,47.25,94.0,3.27,20.7,210,7,1,420,7,1.51,1.51,0,-1,0.512,84,0.0003,112.05,329.24,3.81,2.7,19.75,93.11,79.71,105.45,2.23,21.42,20.86,110.89,353.91,52.09,2.66,20.12,117.63,202.01,145.15,3.05,20.65,1.389
30,2026-07-29 07:15,119.06,47.25,94.0,3.27,20.7,210,7,1,435,7,1.51,1.51,0,-1,0.512,84,0.0003,112.05,329.24,3.81,2.7,19.75,93.11,79.71,105.45,2.23,21.42,24.21,110.89,353.91,52.09,2.66,20.12,117.63,202.01,145.15,3.05,20.65,1.6
31,2026-07-29 07:30,119.06,47.25,94.0,3.27,20.7,210,7,1,450,7,1.51,1.51,0,-1,0.512,84,0.0003,112.05,329.24,3.81,2.7,19.75,93.11,79.71,105.45,2.23,21.42,27.57,110.89,353.91,52.09,2.66,20.12,117.63,202.01,145.15,3.05,20.65,1.805
32,2026-07-29 07:45,119.06,47.25,94.0,3.27,20.7,210,7,1,465,7,1.51,1.51,0,-1,0.512,84,0.0003,112.05,329.24,3.81,2.7,19.75,93.11,79.71,105.45,2.23,21.42,30.94,110.89,353.91,52.09,2.66,20.12,117.63,202.01,145.15,3.05,20.65,2.006
33,2026-07-29 08:00,119.06,47.25,94.0,3.27,20.7,210,8,1,480,7,1.51,1.51,0,-1,0.512,84,0.0003,112.05,329.24,3.81,2.7,19.75,93.11,79.71,105.45,2.23,21.42,34.33,110.89,353.91,52.09,2.66,20.12,117.63,202.01,145.15,3.05,20.65,2.2
34,2026-07-29 08:15,89.37,0.55,3.42,11.07,53.17,210,8,1,495,7,9.82,9.33,0,-1,0.62,92,0.0064,89.37,0.55,3.42,11.07,53.17,139.31,79.66,48.4,44.11,32.45,37.72,89.37,0.55,3.42,11.07,53.17,116.18,202.85,146.28,2.86,20.64,1.88
35,2026-07-29 08:30,118.22,46.92,57.61,3.17,20.93,210,8,1,510,7,25.02,31.67,-1,-1,0.666,80,0.0046,112.22,0.09,0.54,2.85,20.35,152.16,79.54,36.06,62.53,27.43,41.12,140.41,11.8,147.83,4.0,19.31,123.34,197.7,141.12,3.22,20.66,1.808
36,2026-07-29 08:45,118.22,46.92,57.61,3.17,20.93,210,8,1,525,7,25.02,31.67,-1,-1,0.666,80,0.0046,112.22,0.09,0.54,2.85,20.35,152.16,79.54,36.06,62.53,27.43,44.52,140.41,11.8,147.83,4.0,19.31,123.34,197.7,141.12,3.22,20.66,1.927
37,2026-07-29 09:00,118.22,46.92,57.61,3.17,20.93,210,9,1,540,7,25.02,31.67,-1,-1,0.666,80,0.0046,112.22,0.09,0.54,2.85,20.35,152.16,79.54,36.06,62.53,27.43,47.93,140.41,11.8,147.83,4.0,19.31,123.34,197.7,141.12,3.22,20.66,2.04
38,2026-07-29 09:15,118.22,46.92,57.61,3.17,20.93,210,9,1,555,7,25.02,31.67,-1,-1,0.666,80,0.0046,112.22,0.09,0.54,2.85,20.35,152.16,79.54,36.06,62.53,27.43,51.34,140.41,11.8,147.83,4.0,19.31,123.34,197.7,141.12,3.22,20.66,2.146
