Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) LCR1:INV1,DC_Power (KW) LCR1:INV1,AC_Active Output Power (KW) LCR1:INV2,DC_Power (KW) LCR1:INV2,AC_Active Output Power (KW) MCR:INV5,DC_Power (KW) MCR:INV5,AC_Active Output Power (KW) LCR2:INV3,DC_Power (KW) LCR2:INV3,AC_Active Output Power (KW) LCR2:INV4,DC_Power (KW) LCR2:INV4,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
19-08-2026 00:15,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.14,26.17,1.0,0.16,0.0,0.0
19-08-2026 00:30,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.72,26.27,0.83,0.15,0.0,0.0
19-08-2026 00:45,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.99,26.31,0.53,0.16,0.0,0.0
19-08-2026 01:00,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.9,26.27,0.6,0.15,0.0,0.0
19-08-2026 01:15,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.94,26.24,0.53,0.14,0.0,0.0
19-08-2026 01:30,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,25.08,26.19,0.2,0.16,0.0,0.0
19-08-2026 01:45,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.86,26.24,0.19,0.14,0.0,0.0
19-08-2026 02:00,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,25.05,26.33,0.19,0.16,0.0,0.0
19-08-2026 02:15,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.73,26.4,0.18,0.14,0.0,0.0
19-08-2026 02:30,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.97,26.27,0.32,0.17,0.0,0.0
19-08-2026 02:45,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.69,26.02,0.17,0.12,0.0,0.0
19-08-2026 03:00,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.76,25.94,0.12,0.11,0.0,0.0
19-08-2026 03:15,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.56,26.06,0.15,0.12,0.0,0.0
19-08-2026 03:30,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.46,26.13,0.18,0.15,0.0,0.0
19-08-2026 03:45,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.78,25.99,0.2,0.15,0.0,0.0
19-08-2026 04:00,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.23,26.0,0.19,0.13,0.0,0.0
19-08-2026 04:15,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.55,25.99,0.63,0.13,0.0,0.0
19-08-2026 04:30,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.2,26.0,0.66,0.12,0.0,0.0
19-08-2026 04:45,0.0,0.0,0.0,0.0,0.0,122.66,125.11,0.0,0.0,0.0,0.0,24.16,26.04,0.74,0.13,0.0,0.0
