TimeStamp,Active Power (kW),POA (W/m2),GHI (W/m2),Wind Speed (m/s),Wind Direction (DEG.),AMB TEMP,MOD TEMP,Humidity
2026-08-16 06:30:00,42.099999999999994,13.76985,13.741166666666667,0.2202666666666667,260.6904333333334,24.099999999999998,23.916666666666668,97.10000000000001
2026-08-16 06:45:00,70.224,20.28233333333333,20.941553333333328,0.1553,252.92982666666663,24.199999999999992,24.12666666666667,97.10666666666664
2026-08-16 07:00:00,96.74066666666666,26.543353333333336,27.967633333333332,0.43526666666666664,245.99044,24.199999999999992,24.306666666666672,97.14000000000001
2026-08-16 07:15:00,159.30333333333334,40.914693333333325,41.91389333333334,0.7997599999999999,245.55052666666668,24.213333333333328,24.553333333333335,97.01333333333335
2026-08-16 07:30:00,280.27875000000006,68.107825,67.6705625,0.56165,250.16436249999998,24.275000000000002,25.200000000000003,96.625
2026-08-16 07:45:00,573.3478571428572,130.12043571428572,132.84654285714288,0.8865571428571428,249.1083785714286,24.571428571428573,27.55,95.57142857142856
2026-08-16 08:00:00,698.2233333333334,157.83664000000002,158.48604666666668,1.2376866666666666,251.22576666666666,24.846666666666668,29.72666666666667,94.10666666666665
2026-08-16 08:15:00,902.4606666666665,202.67904,200.90296,1.0227066666666667,250.91788666666665,25.14666666666666,31.84666666666667,92.78
2026-08-16 08:30:00,977.7986666666668,221.88008666666667,219.91143999999997,1.0280066666666665,237.91971999999998,25.240000000000002,33.43333333333333,92.07333333333334
2026-08-16 08:45:00,1371.7393333333334,314.9748599999999,318.27913333333333,1.3815866666666667,243.94141999999997,25.553333333333327,35.760000000000005,91.52666666666667
2026-08-16 09:00:00,1662.2559999999999,390.9026866666666,396.46097999999995,1.7267933333333332,247.97195333333335,26.073333333333334,37.87333333333333,89.72
2026-08-16 09:15:00,1841.7566666666664,442.8870066666667,452.34944,1.0827466666666665,229.6160533333333,26.286666666666665,40.980000000000004,88.73333333333333
2026-08-16 09:30:00,1945.4993333333334,457.91534666666666,477.41013333333336,1.3488733333333334,238.0206133333333,26.800000000000004,42.7,87.3
2026-08-16 09:45:00,2226.961333333333,513.9415333333333,532.0285466666667,1.3916266666666668,244.60908666666668,27.03333333333334,44.273333333333326,86.47333333333333
2026-08-16 10:00:00,2098.6646666666666,501.65012,513.1895933333333,1.5154266666666667,227.62341333333336,27.36,46.12,85.00666666666666
2026-08-16 10:15:00,1634.7893333333334,380.52346,389.6419600000001,1.626613333333333,232.87357333333335,27.453333333333333,43.49333333333333,84.66666666666667
2026-08-16 10:30:00,1689.746666666667,383.8473133333334,391.7132533333334,1.3239799999999997,234.0509066666667,27.433333333333334,42.10666666666667,85.40666666666667
2026-08-16 10:45:00,1869.0033333333333,406.0362666666667,419.3642,1.4424000000000001,249.1544666666667,27.7,42.2,82.8
2026-08-16 11:00:00,1547.8828571428571,331.0088142857143,343.86307857142856,1.0731142857142857,241.1193214285714,27.800000000000004,41.00714285714286,82.77857142857142
2026-08-16 11:15:00,1243.9173333333335,251.45595333333338,276.97896000000003,1.4448666666666665,252.23619999999997,27.88666666666667,38.686666666666675,82.08666666666666
2026-08-16 11:30:00,1325.8120000000001,271.19318000000004,286.0258533333334,1.0547866666666668,242.20842666666664,27.793333333333333,37.54666666666666,83.02666666666667
2026-08-16 11:45:00,1420.1273333333334,296.3933666666666,307.69746,1.1331266666666668,242.27593333333334,27.846666666666668,40.166666666666664,83.46
2026-08-16 12:00:00,1626.5553333333335,342.45656,358.09219333333334,1.1510266666666666,239.87007333333335,27.853333333333335,40.59333333333334,83.42
2026-08-16 12:15:00,1368.3666666666666,282.1152400000001,302.99824666666666,0.9389266666666669,252.94020666666668,28.066666666666666,40.800000000000004,82.95333333333332
2026-08-16 12:30:00,1289.851333333333,264.25709333333333,296.76339333333334,0.7762933333333334,248.85402666666673,28.49333333333334,39.63333333333333,80.08
2026-08-16 12:45:00,1172.4,249.66504666666663,261.0570266666667,0.8855133333333334,232.99228,28.3,39.879999999999995,80.96666666666665
2026-08-16 13:00:00,1919.352666666667,430.6706266666667,416.87000666666665,0.8883399999999998,225.71609333333336,28.466666666666665,42.4,81.41333333333333
2026-08-16 13:15:00,1606.2820000000002,385.7451666666666,350.04256666666674,0.8429733333333332,263.2647,28.873333333333335,44.66,79.53333333333335
2026-08-16 13:30:00,1375.5299999999997,338.59123333333326,316.5157933333333,0.7829333333333334,288.03846,28.479999999999997,41.673333333333325,81.43333333333335
2026-08-16 13:45:00,302.0326666666667,70.09691333333333,65.61558,0.7322266666666667,279.97738,27.646666666666665,33.45333333333333,83.79999999999998
2026-08-16 14:00:00,1078.448,228.10168000000002,208.97676666666666,0.8642533333333333,293.87840666666665,27.226666666666667,32.413333333333334,85.53333333333332
2026-08-16 14:15:00,1323.918666666667,272.6103466666667,271.84328666666664,0.6574133333333332,287.01024666666666,27.319999999999993,35.15333333333333,85.57333333333332
2026-08-16 14:30:00,1007.1400000000001,211.35699333333332,224.74554666666668,0.48636,268.4659,27.65333333333333,36.00666666666667,83.69333333333333
2026-08-16 14:45:00,437.27199999999993,90.30040000000001,100.37320666666666,0.30080666666666667,241.42353999999997,27.800000000000008,32.62666666666667,83.18
2026-08-16 15:00:00,519.5086666666667,110.50756000000001,106.11273999999997,0.32815333333333335,247.82656,27.746666666666673,31.026666666666664,84.30666666666664
2026-08-16 15:15:00,1786.603333333333,374.64938,367.652,0.6882333333333333,246.0891266666667,28.193333333333335,37.35333333333333,82.11333333333333
2026-08-16 15:30:00,1234.4673333333335,254.07480000000004,278.71206666666666,1.2983666666666667,234.59321333333335,28.64,41.42666666666666,79.03333333333333
2026-08-16 15:45:00,764.1733333333334,158.60746666666665,178.89167333333336,1.29076,246.96896,28.2,36.846666666666664,80.70666666666666
2026-08-16 16:00:00,459.12,97.35583999999999,104.01709999999999,0.6618333333333335,263.65938,28.133333333333336,33.333333333333336,80.72666666666667
2026-08-16 16:15:00,461.04200000000003,97.57640666666666,102.33429333333332,0.8754266666666666,254.56044,27.973333333333333,32.3,82.68666666666668
2026-08-16 16:30:00,409.7486666666666,87.44093333333332,93.12317333333334,1.0705533333333335,246.08095333333333,27.480000000000004,31.366666666666667,80.53999999999999
2026-08-16 16:45:00,660.4833333333335,137.87391333333332,142.9089,0.7203266666666667,240.32114,27.38,31.56,80.77333333333334
