Block,Time,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,solar_elevation_deg,Predicted Generation (MW)
46,2026-08-24 11:15,236,11,1,675,8,0.0,0.0,0,-1,0.0,0,0.0,72.49,1.239
47,2026-08-24 11:30,236,11,1,690,8,0.0,0.0,0,-1,0.0,0,0.0,74.41,1.239
48,2026-08-24 11:45,236,11,1,705,8,0.0,0.0,0,-1,0.0,0,0.0,75.68,1.239
49,2026-08-24 12:00,236,12,1,720,8,0.0,0.0,0,-1,0.0,0,0.0,76.13,1.239
50,2026-08-24 12:15,236,12,1,735,8,0.0,0.0,0,-1,0.0,0,0.0,75.68,1.239
51,2026-08-24 12:30,236,12,1,750,8,0.0,0.0,0,-1,0.0,0,0.0,74.41,1.239
52,2026-08-24 12:45,236,12,1,765,8,0.0,0.0,0,-1,0.0,0,0.0,72.49,1.239
53,2026-08-24 13:00,236,13,1,780,8,0.0,0.0,0,-1,0.0,0,0.0,70.12,1.239
